iter	Passed	Remaining
418	2676	3711
419	2683	3705
420	2689	3698
421	2695	3692
422	2701	3685
423	2708	3679
424	2715	3673
425	2721	3667
426	2728	3661
427	2734	3654
428	2740	3648
429	2748	3643
430	2754	3636
431	2761	3630
432	2767	3624
433	2773	3617
434	2779	3610
435	2786	3604
436	2792	3597
437	2798	3591
438	2805	3584
439	2812	3579
440	2818	3572
441	2824	3565
442	2830	3559
443	2837	3552
444	2843	3546
445	2850	3540
446	2856	3533
447	2862	3527
448	2868	3520
449	2874	3513
450	2881	3507
451	2887	3500
452	2894	3495
453	2900	3488
454	2906	3481
455	2912	3474
456	2919	3469
457	2926	3463
458	2933	3457
459	2939	3450
460	2945	3443
461	2951	3437
462	2958	3431
463	2965	3425
464	2971	3418
465	2978	3412
466	2984	3406
467	2990	3399
468	2997	3393
469	3004	3387
470	3010	3381
471	3016	3374
472	3023	3368
473	3029	3362
474	3036	3356
475	3042	3349
476	3049	3343
477	3055	3337
478	3062	3331
479	3068	3324
480	3074	3317
481	3081	3311
482	3087	3304
483	3093	3298
484	3099	3291
485	3106	3284
486	3112	3279
487	3119	3272
488	3126	3267
489	3132	3260
490	3139	3254
491	3146	3248
492	3152	3242
493	3158	3235
494	3164	3228
495	3170	3222
496	3177	3215
497	3183	3209
498	3190	3203
499	3196	3196
500	3202	3190
501	3209	3183
502	3215	3177
503	3221	3170
504	3228	3164
505	3234	3158
506	3241	3151
507	3247	3145
508	3253	3138
509	3260	3132
510	3267	3126
511	3273	3119
512	3279	3113
513	3286	3107
514	3292	3100
515	3298	3094
516	3305	3087
517	3311	3081
518	3318	3075
519	3326	3070
520	3332	3063
521	3338	3057
522	3344	3050
523	3351	3044
524	3358	3038
525	3364	3031
526	3370	3025
527	3377	3018
528	3383	3012
529	3389	3005
530	3396	2999
531	3402	2992
532	3408	2986
533	3414	2979
534	3420	2973
535	3426	2966
536	3433	2960
537	3439	2953
538	3445	2946
539	3451	2940
540	3457	2933
541	3464	2927
542	3470	2920
543	3476	2914
544	3482	2907
545	3489	2901
546	3495	2894
547	3501	2888
548	3508	2882
549	3514	2875
550	3520	2869
551	3527	2862
552	3533	2855
553	3539	2849
554	3546	2843
555	3551	2836
556	3557	2829
557	3564	2823
558	3570	2816
559	3576	2810
560	3582	2803
561	3589	2797
562	3595	2790
563	3601	2783
564	3607	2777
565	3613	2771
566	3620	2764
567	3626	2758
568	3633	2752
569	3639	2745
570	3646	2739
571	3652	2733
572	3658	2726
573	3665	2720
574	3671	2713
575	3678	2707
576	3685	2701
577	3691	2695
578	3698	2689
579	3704	2682
580	3711	2676
581	3717	2670
582	3723	2663
583	3730	2657
584	3736	2650
585	3743	2644
586	3749	2638
587	3755	2631
588	3761	2625
589	3768	2618
590	3774	2612
591	3780	2605
592	3787	2599
593	3795	2593
594	3802	2587
595	3809	2582
596	3816	2576
597	3822	2569
598	3829	2563
599	3835	2556
600	3841	2550
601	3847	2543
602	3853	2537
603	3859	2530
604	3866	2524
605	3872	2517
606	3878	2511
607	3884	2504
608	3891	2498
609	3897	2491
610	3903	2485
611	3909	2478
612	3915	2472
613	3922	2465
614	3928	2459
615	3935	2453
616	3941	2446
617	3947	2440
618	3953	2433
619	3959	2427
620	3965	2420
621	3972	2414
622	3979	2408
623	3986	2401
624	3993	2395
625	3999	2389
626	4005	2382
627	4011	2376
628	4018	2370
629	4025	2363
630	4031	2357
631	4037	2351
632	4044	2344
633	4051	2338
634	4058	2332
635	4064	2326
636	4070	2319
637	4076	2313
638	4083	2306
639	4089	2300
640	4096	2294
641	4102	2287
642	4108	2281
643	4114	2274
644	4120	2268
645	4127	2261
646	4133	2255
647	4140	2249
648	4146	2242
649	4152	2236
650	4159	2229
651	4165	2223
652	4171	2216
653	4177	2209
654	4183	2203
655	4190	2197
656	4196	2190
657	4202	2184
658	4208	2177
659	4215	2171
660	4221	2165
661	4227	2158
662	4234	2152
663	4240	2145
664	4246	2139
665	4252	2132
666	4259	2126
667	4265	2120
668	4272	2113
669	4279	2107
670	4285	2101
671	4291	2094
672	4298	2088
673	4304	2081
674	4310	2075
675	4317	2069
676	4323	2062
677	4329	2056
678	4336	2050
679	4343	2043
680	4349	2037
681	4355	2030
682	4361	2024
683	4374	2021
684	4381	2014
685	4387	2008
686	4394	2001
687	4400	1995
688	4406	1989
689	4413	1982
690	4419	1976
691	4425	1969
692	4431	1963
693	4438	1956
694	4444	1950
695	4451	1944
696	4457	1937
697	4464	1931
698	4470	1924
699	4476	1918
700	4482	1911
701	4488	1905
702	4494	1898
703	4501	1892
704	4508	1886
705	4515	1880
706	4522	1874
707	4528	1867
708	4535	1861
709	4541	1854
710	4547	1848
711	4554	1842
712	4560	1835
713	4566	1829
714	4572	1822
715	4579	1816
716	4586	1810
717	4592	1803
718	4598	1797
719	4605	1791
720	4611	1784
721	4617	1778
722	4624	1771
723	4631	1765
724	4637	1759
725	4643	1752
726	4650	1746
727	4656	1739
728	4663	1733
729	4669	1727
730	4675	1720
731	4682	1714
732	4688	1707
733	4694	1701
734	4700	1694
735	4706	1688
736	4713	1681
737	4719	1675
738	4725	1668
739	4732	1662
740	4739	1656
741	4745	1649
742	4751	1643
743	4757	1637
744	4763	1630
745	4770	1624
746	4776	1617
747	4782	1611
748	4789	1604
749	4796	1598
750	4802	1592
751	4808	1585
752	4815	1579
753	4821	1573
754	4828	1566
755	4835	1560
756	4842	1554
757	4848	1548
758	4854	1541
759	4861	1535
760	4867	1528
761	4874	1522
762	4880	1516
763	4886	1509
764	4893	1503
765	4899	1496
766	4906	1490
767	4912	1483
768	4918	1477
769	4924	1471
770	4931	1464
771	4937	1458
772	4943	1451
773	4949	1445
774	4955	1438
775	4961	1432
776	4967	1425
777	4973	1419
778	4979	1412
779	4986	1406
780	4992	1400
781	4999	1393
782	5005	1387
783	5012	1380
784	5018	1374
785	5024	1367
786	5030	1361
787	5036	1355
788	5043	1348
789	5049	1342
790	5055	1335
791	5061	1329
792	5067	1322
793	5073	1316
794	5079	1309
795	5085	1303
796	5091	1296
797	5097	1290
798	5103	1283
799	5109	1277
800	5115	1270
801	5121	1264
802	5128	1258
803	5135	1251
804	5142	1245
805	5148	1239
806	5154	1232
807	5160	1226
808	5166	1219
809	5172	1213
810	5179	1207
811	5185	1200
812	5191	1194
813	5197	1187
814	5203	1181
815	5209	1174
816	5215	1168
817	5221	1161
818	5227	1155
819	5233	1148
820	5239	1142
821	5245	1135
822	5251	1129
823	5257	1122
824	5263	1116
825	5269	1109
826	5275	1103
827	5282	1097
828	5288	1090
829	5294	1084
830	5300	1078
831	5306	1071
832	5312	1065
833	5318	1058
834	5325	1052
835	5331	1045
836	5338	1039
837	5344	1033
838	5350	1026
839	5356	1020
840	5362	1013
841	5368	1007
842	5374	1001
843	5380	994
844	5386	988
845	5392	981
846	5398	975
847	5405	968
848	5411	962
849	5418	956
850	5426	950
851	5432	943
852	5439	937
853	5445	930
854	5451	924
855	5457	918
856	5463	911
857	5470	905
858	5476	898
859	5482	892
860	5489	886
861	5495	879
862	5502	873
863	5508	867
864	5514	860
865	5520	854
866	5526	847
867	5533	841
868	5539	835
869	5545	828
870	5551	822
871	5559	816
872	5564	809
873	5571	803
874	5577	796
875	5584	790
876	5590	784
877	5596	777
878	5603	771
879	5609	764
880	5615	758
881	5622	752
882	5628	745
883	5634	739
884	5641	733
885	5647	726
886	5653	720
887	5659	713
888	5665	707
889	5672	701
890	5678	694
891	5684	688
892	5690	681
893	5697	675
894	5704	669
895	5711	662
896	5717	656
897	5724	650
898	5730	643
899	5736	637
900	5743	631
901	5749	624
902	5755	618
903	5762	611
904	5768	605
905	5775	599
906	5781	592
907	5788	586
908	5794	580
909	5800	573
910	5807	567
911	5814	561
912	5820	554
913	5826	548
914	5832	541
915	5839	535
916	5846	529
917	5852	522
918	5858	516
919	5865	510
920	5873	503
921	5879	497
922	5885	490
923	5891	484
924	5898	478
925	5904	471
926	5910	465
927	5916	459
928	5922	452
929	5928	446
930	5935	439
931	5941	433
932	5948	427
933	5955	420
934	5962	414
935	5969	408
936	5976	401
937	5982	395
938	5989	389
939	5995	382
940	6001	376
941	6008	369
942	6015	363
943	6021	357
944	6029	350
945	6035	344
946	6042	338
947	6048	331
948	6055	325
949	6061	319
950	6067	312
951	6073	306
952	6080	299
953	6086	293
954	6094	287
955	6101	280
956	6107	274
957	6114	268
958	6120	261
959	6127	255
960	6134	248
961	6141	242
962	6148	236
963	6154	229
964	6162	223
965	6169	217
966	6175	210
967	6182	204
968	6188	197
969	6195	191
970	6202	185
971	6208	178
972	6215	172
973	6222	166
974	6228	159
975	6235	153
976	6241	146
977	6247	140
978	6254	134
979	6260	127
980	6267	121
981	6274	115
982	6281	108
983	6287	102
984	6294	95
985	6300	89
986	6306	83
987	6313	76
988	6319	70
989	6326	63
990	6332	57
991	6339	51
992	6345	44
993	6351	38
994	6357	31
995	6363	25
996	6369	19
997	6375	12
998	6382	6
999	6388	0
