iter	Logloss
0	0.6758748369
1	0.6590895367
2	0.6427988613
3	0.6266679693
4	0.6112868915
5	0.5969799365
6	0.5823860082
7	0.5685359632
8	0.5548655311
9	0.5415354164
10	0.5285329674
11	0.5161328443
12	0.5041208825
13	0.4922106051
14	0.4805629086
15	0.4693831411
16	0.4587817982
17	0.4481752659
18	0.4378347227
19	0.4278112992
20	0.4183059494
21	0.4089996429
22	0.4003137867
23	0.3914576279
24	0.3828396607
25	0.3743675452
26	0.3663376448
27	0.3585932156
28	0.3509564902
29	0.3437744123
30	0.3366648465
31	0.3295630824
32	0.3230208824
33	0.3167365237
34	0.3103911958
35	0.3043396659
36	0.2984221183
37	0.2926239125
38	0.2869989387
39	0.2815753601
40	0.2762962097
41	0.2713291154
42	0.2662848247
43	0.2613871078
44	0.2566811824
45	0.2521350002
46	0.2477607011
47	0.2436167544
48	0.2394217305
49	0.2353407994
50	0.2314782748
51	0.2276016881
52	0.2238739934
53	0.2203380078
54	0.2168713131
55	0.2134527661
56	0.2101704742
57	0.2067491789
58	0.20367567
59	0.2006062571
60	0.1976188051
61	0.1947789686
62	0.1919688249
63	0.1892990378
64	0.1866433185
65	0.1841289239
66	0.1816419713
67	0.1792118085
68	0.1768853748
69	0.1745975834
70	0.1724129298
71	0.1703041232
72	0.1682071346
73	0.1661942938
74	0.1642315065
75	0.1622696123
76	0.160361189
77	0.1583398888
78	0.1564186206
79	0.1547082614
80	0.153033656
81	0.1512346837
82	0.1496693208
83	0.1481374025
84	0.146520156
85	0.1450262287
86	0.1436087549
87	0.1420265151
88	0.1407193584
89	0.1394429957
90	0.1381802597
91	0.1368940973
92	0.1355717896
93	0.1344013458
94	0.1332433328
95	0.1321950767
96	0.1311062052
97	0.1300230511
98	0.1288398492
99	0.1277183059
100	0.1267486208
101	0.1257452017
102	0.1248039576
103	0.1239285439
104	0.1229702988
105	0.1220950343
106	0.1212395803
107	0.1202787867
108	0.119372352
109	0.1184810247
110	0.1175958459
111	0.1167799916
112	0.1159598831
113	0.1151747272
114	0.1143278104
115	0.1135803492
116	0.1128118072
117	0.1120722361
118	0.1114277733
119	0.1107378403
120	0.1100397785
121	0.1093419582
122	0.1086673535
123	0.1080080174
124	0.1073588595
125	0.106713042
126	0.1060969669
127	0.1055192568
128	0.1049289611
129	0.1043988749
130	0.1038411707
131	0.1033644138
132	0.102851896
133	0.1023305433
134	0.1018340843
135	0.1013535497
136	0.1009240719
137	0.1004707339
138	0.1000397812
139	0.09959743158
140	0.09912561923
141	0.09871545285
142	0.09831954309
143	0.09791910676
144	0.09749744493
145	0.09706769143
146	0.09669510202
147	0.09631537689
148	0.09593218194
149	0.09561152211
150	0.09527242705
151	0.09493941948
152	0.09459107551
153	0.0942441583
154	0.0939045441
155	0.0935546809
156	0.0932606798
157	0.09296609819
158	0.09265818316
159	0.09236133119
160	0.09204885165
161	0.09177494962
162	0.09151150491
163	0.09123894431
164	0.0909611846
165	0.09068830432
166	0.09042835059
167	0.09016694723
168	0.08993024161
169	0.08967688838
170	0.08943268878
171	0.08917269834
172	0.08894377046
173	0.08869423433
174	0.08845263006
175	0.08823438369
176	0.08799827912
177	0.08778345534
178	0.08757176702
179	0.08737895386
180	0.08719347921
181	0.08699035166
182	0.08680606795
183	0.08661786509
184	0.0864383839
185	0.08626884378
186	0.08609401842
187	0.08591619299
188	0.08574998614
189	0.08556892092
190	0.08540226944
191	0.08523892766
192	0.08507860422
193	0.08492234143
194	0.08476316324
195	0.08460207555
196	0.08444834393
197	0.0842995725
198	0.08416585561
199	0.08401311925
200	0.08387811927
201	0.08374076385
202	0.08359212456
203	0.08345053055
204	0.08332828684
205	0.0831987366
206	0.08306521091
207	0.08294731758
208	0.08280953827
209	0.08268300709
210	0.08257568624
211	0.08245820945
212	0.08234850694
213	0.08223612104
214	0.08213417144
215	0.08203347551
216	0.08191573564
217	0.08181845734
218	0.08171728607
219	0.08161346615
220	0.08150125276
221	0.08140917261
222	0.08132445487
223	0.08123331557
224	0.08114154733
225	0.08104845548
226	0.08096270611
227	0.08088296134
228	0.08080390378
229	0.0807124177
230	0.08062824055
231	0.08053231263
232	0.08045574289
233	0.08037233767
234	0.08028699963
235	0.08020805272
236	0.08015524509
237	0.0800642899
238	0.07999524883
239	0.07992500225
240	0.07984321107
241	0.07975925994
242	0.07968745874
243	0.07962256519
244	0.0795533116
245	0.07949262406
246	0.07941608175
247	0.07935017471
248	0.07928386745
249	0.07921774684
250	0.07915644233
251	0.07909421188
252	0.07901928636
253	0.07896047624
254	0.07890092724
255	0.07882467217
256	0.07876913288
257	0.07870803195
258	0.07864511231
259	0.0785832173
260	0.07852105676
261	0.07846406644
262	0.07840391109
263	0.07834619883
264	0.07828841047
265	0.07823983188
266	0.07818647726
267	0.07814017073
268	0.07808639052
269	0.07804252234
270	0.07798487586
271	0.077922548
272	0.07787438473
273	0.07782465898
274	0.07777098209
275	0.07772277598
276	0.07766697027
277	0.07761747336
278	0.07757431314
279	0.07753201959
280	0.07748472566
281	0.07744839179
282	0.07740483107
283	0.07736165575
284	0.07731894015
285	0.07727242625
286	0.07723466428
287	0.07719257854
288	0.07715139901
289	0.07710716445
290	0.07707087691
291	0.07703640972
292	0.07699595124
293	0.07696466218
294	0.0769222729
295	0.07688327916
296	0.07684716625
297	0.07681331691
298	0.076777692
299	0.07674760499
300	0.07670789746
301	0.07667491854
302	0.07664447456
303	0.07660798363
304	0.07657898849
305	0.07653791756
306	0.07650590368
307	0.07647615674
308	0.07644023637
309	0.07640913425
310	0.07637383678
311	0.07634226927
312	0.07630836438
313	0.07627350695
314	0.07624587775
315	0.07621237287
316	0.07618531059
317	0.07615952872
318	0.07613182062
319	0.07610492473
320	0.07606891804
321	0.07603641612
322	0.07600876633
323	0.07598191121
324	0.07595894939
325	0.07592716129
326	0.07590482402
327	0.07587639947
328	0.07584783726
329	0.07582328313
330	0.07579586359
331	0.07577179573
332	0.07574852603
333	0.07572091385
334	0.07569743889
335	0.07567024019
336	0.0756505382
337	0.07562838928
338	0.07560591151
339	0.07558122269
340	0.07556066853
341	0.07553449835
342	0.07550919143
343	0.07548882351
344	0.07546653772
345	0.07544985564
346	0.07542708026
347	0.07540604312
348	0.075386568
349	0.07536769541
350	0.07534613911
351	0.0753231033
352	0.07530284336
353	0.07527943598
354	0.07525787195
355	0.0752425539
356	0.07522591629
357	0.07520790128
358	0.07518804746
359	0.07516999498
360	0.07515263688
361	0.07513408413
362	0.07511727011
363	0.07510458085
364	0.075084823
365	0.07506864896
366	0.07505272799
367	0.07503501647
368	0.0750114721
369	0.07499539952
370	0.07497666788
371	0.07496201633
372	0.07494255011
373	0.0749254881
374	0.07491275881
375	0.07489884685
376	0.0748880087
377	0.07487936711
378	0.07486010595
379	0.07484341762
380	0.07482655719
381	0.07481246822
382	0.07479526334
383	0.07478705062
384	0.0747656116
385	0.07474818973
386	0.0747310236
387	0.07471530187
388	0.07469908896
389	0.07468448871
390	0.07466820155
391	0.07464966554
